,Track name,Artists,Album Name,Album ID,Track ID,Popularity,Release date,Duration (ms),Explicit,External urls,Danceability,Energy,Key,Loudness,Speechiness,Mode,Acousticness,Instrumentalness,Liveness,Valence,Tempo
0,Aachhi Sab Samoye,Lakkhichhara,Eka,1NxURIo4gl5utnBMvpUqfL,2ghhKwN3iLUeUrt3kKYriT,8,2005,396514,False,https://open.spotify.com/track/2ghhKwN3iLUeUrt3kKYriT,0.711,0.469,9,-6.815,0.0316,0,0.228,1.68e-05,0.108,0.241,129.853
1,Tomaye Dilam,Mohiner Ghoraguli,Jhora Samayer Gaan,4RrHuzSTwsuA45rmNt2afD,0DcQwii7VM7mmxuwkmZLgB,38,1998,236617,False,https://open.spotify.com/track/0DcQwii7VM7mmxuwkmZLgB,0.55,0.345,9,-10.092,0.0288,0,0.915,0.0,0.102,0.143,93.197
2,Lakkhichhara,Lakkhichhara,"Band-E-Matoram, Vol. 1",5XvuHhSVxVIi7CIl5pceRL,6e8U493CBuVqDxDzXBsXdE,18,2005,231237,False,https://open.spotify.com/track/6e8U493CBuVqDxDzXBsXdE,0.463,0.823,4,-9.517,0.0336,0,0.26,0.0169,0.282,0.615,138.778
3,Jibon Chaichhe Aro Beshi,Lakkhichhara,"Band-E-Matoram, Vol. 1",5XvuHhSVxVIi7CIl5pceRL,1S44gzEsEWyip82wrwLfog,28,2005,310048,False,https://open.spotify.com/track/1S44gzEsEWyip82wrwLfog,0.555,0.536,11,-11.32,0.0283,0,0.0314,0.00881,0.313,0.82,133.692
4,Udener Gaan,Cactus,Rajar Raja,6UeMitzv4cd2pBCVBTHgDZ,63o4FtQQxWELAHzIULndWT,14,2004,328804,False,https://open.spotify.com/track/63o4FtQQxWELAHzIULndWT,0.633,0.425,9,-11.555,0.0266,0,0.144,0.000793,0.099,0.468,136.339
5,Tritiyo Biswa,Fossils,"Band-E-Matoram, Vol. 1",5XvuHhSVxVIi7CIl5pceRL,3uqreW0vUNscrEmhLTi0Pr,9,2005,443691,False,https://open.spotify.com/track/3uqreW0vUNscrEmhLTi0Pr,0.545,0.656,4,-7.687,0.0348,1,0.118,0.0,0.0843,0.233,75.484
6,Rishtey,"Pritam,James",Life In A Metro (Original Motion Picture Soundtrack),6leYdBPs1XzfUgpc8xgeSi,6FfCyhMsZaBcHxYu0Nm3eP,39,2007-03-17,440347,False,https://open.spotify.com/track/6FfCyhMsZaBcHxYu0Nm3eP,0.542,0.564,0,-6.634,0.0276,0,0.22,1.71e-06,0.114,0.178,135.984
7,Baba,James,Harjeet,4Mh9kZmWE3GomiYCldfNAb,6XTrfktfaPH22Cw1SRTKad,33,2015,305667,False,https://open.spotify.com/track/6XTrfktfaPH22Cw1SRTKad,0.623,0.546,3,-6.77,0.032,1,0.698,0.0,0.318,0.284,142.024
8,Eto Noy Gaan,Miles,Proticchobi,7IqZOI5mChBdKkHl8neOHA,24s1v4vAvogJzc4LGbvP4N,0,2015-07-24,329045,False,https://open.spotify.com/track/24s1v4vAvogJzc4LGbvP4N,0.584,0.46,4,-8.62,0.0247,1,0.613,4.58e-06,0.129,0.199,98.009
9,Eshona,Miles,Proticchobi,7IqZOI5mChBdKkHl8neOHA,0MAnTT4OGZF4Rk3ttd1fYM,0,2015-07-24,340821,False,https://open.spotify.com/track/0MAnTT4OGZF4Rk3ttd1fYM,0.6,0.818,9,-2.886,0.0442,1,0.16,0.0182,0.244,0.592,122.015
